Strategy,Asset,CVaR_Contribution,Contribution_Share,VaR_Threshold,CVaR_Estimate,N_Tail_Scenarios,N_Common_Assets
DRP,XLF,0.0005894424208996922,0.030729410547648123,0.014567041277015925,0.019181702818077816,11,24
DRP,TIP,0.0005833717369932271,0.030412927492726446,0.014567041277015925,0.019181702818077816,11,24
DRP,LQD,0.0005778635001747417,0.0301257665002574,0.014567041277015925,0.019181702818077816,11,24
DRP,SHY,0.0005674916756173686,0.029585052015430848,0.014567041277015925,0.019181702818077816,11,24
DRP,XLE,0.0005385781751185701,0.028077704061340504,0.014567041277015925,0.019181702818077816,11,24
MinCVaR,SHY,0.007102846954898279,0.7844719693195762,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,XLV,0.0009893585268528464,0.10926942912491379,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,XLU,0.00045966636277996895,0.05076772442510457,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,XLP,0.0002372814092766816,0.02620647968345089,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,XLE,0.00016247092225456653,0.017944056115458403,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,XLK,0.0001270112601018734,0.014027723526995868,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,XLY,8.756244449545772e-05,0.00967080998759483,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,TLT,5.090107698841656e-05,0.005621755383319019,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,IEF,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,XLI,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,XLB,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,TIP,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,AGG,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,LQD,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,IWN,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,IWM,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,IWF,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,IWD,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,IWB,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,IJJ,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,IJH,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,SPY,-0.0,-0.0,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,XLF,-3.8911686121366944e-05,-0.004297590421841083,0.005899858932747879,0.009054303063319195,11,24
MinCVaR,IWO,-0.00012388420820752852,-0.013682357144572332,0.005899858932747879,0.009054303063319195,11,24
MinCVaR_Cap,AGG,0.005793611256019703,0.32721568697339304,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,XLP,0.002195859618934204,0.12401931747839123,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,SHY,0.0020515530706446687,0.11586906986137045,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,IEF,0.0017219341940352796,0.09725262108996319,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,TIP,0.001200078650001139,0.06777889342751742,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,XLU,0.0008191395462989379,0.046263944459646864,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,XLV,0.0007407777295451102,0.04183817017682023,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,XLY,0.0007290244425448099,0.041174359694885886,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,XLI,0.0006243448490687525,0.03526219134638405,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,XLE,0.0006159981027789801,0.034790777887574106,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,XLK,0.0005571049755542327,0.03146457006463217,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,IWO,0.000420329086054938,0.023739644337624374,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,XLF,0.00011697144149417266,0.006606396061699033,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,LQD,7.800703868748156e-05,0.0044057368754873046,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,IWN,3.383298045488734e-05,0.001910843073980953,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,TLT,7.220016080013532e-06,0.0004077771906297431,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,IWM,-0.0,-0.0,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,IWF,-0.0,-0.0,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,IWD,-0.0,-0.0,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,XLB,-0.0,-0.0,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,IWB,-0.0,-0.0,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,IJJ,-0.0,-0.0,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,IJH,-0.0,-0.0,0.01247396263364579,0.017705786998197307,11,24
MinCVaR_Cap,SPY,-0.0,-0.0,0.01247396263364579,0.017705786998197307,11,24
