Date,Strategy,Asset,Weight
2009-05-31,MinCVaR,IJJ,0.0
2009-05-31,MinCVaR,ITOT,0.0
2009-05-31,MinCVaR,IVV,0.0
2009-05-31,MinCVaR,IWB,0.0
2009-05-31,MinCVaR,IWD,0.0
2009-05-31,MinCVaR,IWF,0.0
2009-05-31,MinCVaR,IWM,0.0
2009-05-31,MinCVaR,IWN,0.0
2009-05-31,MinCVaR,IWO,0.0
2009-05-31,MinCVaR,LQD,0.0
2009-05-31,MinCVaR,SHY,0.9666246517482951
2009-05-31,MinCVaR,SPY,0.0
2009-05-31,MinCVaR,TIP,0.0
2009-05-31,MinCVaR,TLT,0.0
2009-05-31,MinCVaR,VTI,0.0
2009-05-31,MinCVaR,XLB,0.0
2009-05-31,MinCVaR,XLE,0.03337534825170489
2009-05-31,MinCVaR,XLF,0.0
2009-05-31,MinCVaR,XLI,0.0
2009-05-31,MinCVaR,XLK,0.0
2009-05-31,MinCVaR,XLP,0.0
2009-05-31,MinCVaR,XLU,0.0
2009-05-31,MinCVaR,XLV,0.0
2009-05-31,MinCVaR,XLY,0.0
2009-05-31,MinCVaR_Cap,AGG,0.39999999999999925
2009-05-31,MinCVaR_Cap,IEF,0.17668961457694568
2009-05-31,MinCVaR_Cap,IJH,0.0
2009-05-31,MinCVaR_Cap,IJJ,0.0
2009-05-31,MinCVaR_Cap,ITOT,0.0
2009-05-31,MinCVaR_Cap,IVV,0.0
2009-05-31,MinCVaR_Cap,IWB,0.0
2009-05-31,MinCVaR_Cap,IWD,0.0
2009-05-31,MinCVaR_Cap,IWF,0.0
2009-05-31,MinCVaR_Cap,IWM,0.0
2009-05-31,MinCVaR_Cap,IWN,0.0
2009-05-31,MinCVaR_Cap,IWO,0.0
2009-05-31,MinCVaR_Cap,LQD,0.0
2009-05-31,MinCVaR_Cap,SHY,0.39999999999999925
2009-05-31,MinCVaR_Cap,SPY,0.0
2009-05-31,MinCVaR_Cap,TIP,2.147675585142153e-05
2009-05-31,MinCVaR_Cap,TLT,0.0
2009-05-31,MinCVaR_Cap,VTI,0.0
2009-05-31,MinCVaR_Cap,XLB,0.0
2009-05-31,MinCVaR_Cap,XLE,0.0
2009-05-31,MinCVaR_Cap,XLF,0.0
2009-05-31,MinCVaR_Cap,XLI,0.0
2009-05-31,MinCVaR_Cap,XLK,0.0
2009-05-31,MinCVaR_Cap,XLP,0.0
2009-05-31,MinCVaR_Cap,XLU,0.0
2009-05-31,MinCVaR_Cap,XLV,0.023288908667204428
2009-05-31,MinCVaR_Cap,XLY,0.0
2009-06-30,EqualWeight,AGG,0.037037037037037035
2009-06-30,EqualWeight,IEF,0.037037037037037035
2009-06-30,EqualWeight,IJH,0.037037037037037035
2009-06-30,EqualWeight,IJJ,0.037037037037037035
2009-06-30,EqualWeight,ITOT,0.037037037037037035
2009-06-30,EqualWeight,IVV,0.037037037037037035
2009-06-30,EqualWeight,IWB,0.037037037037037035
2009-06-30,EqualWeight,IWD,0.037037037037037035
2009-06-30,EqualWeight,IWF,0.037037037037037035
2009-06-30,EqualWeight,IWM,0.037037037037037035
2009-06-30,EqualWeight,IWN,0.037037037037037035
2009-06-30,EqualWeight,IWO,0.037037037037037035
2009-06-30,EqualWeight,LQD,0.037037037037037035
2009-06-30,EqualWeight,SHY,0.037037037037037035
2009-06-30,EqualWeight,SPY,0.037037037037037035
2009-06-30,EqualWeight,TIP,0.037037037037037035
2009-06-30,EqualWeight,TLT,0.037037037037037035
2009-06-30,EqualWeight,VTI,0.037037037037037035
2009-06-30,EqualWeight,XLB,0.037037037037037035
2009-06-30,EqualWeight,XLE,0.037037037037037035
2009-06-30,EqualWeight,XLF,0.037037037037037035
2009-06-30,EqualWeight,XLI,0.037037037037037035
2009-06-30,EqualWeight,XLK,0.037037037037037035
2009-06-30,EqualWeight,XLP,0.037037037037037035
2009-06-30,EqualWeight,XLU,0.037037037037037035
2009-06-30,EqualWeight,XLV,0.037037037037037035
2009-06-30,EqualWeight,XLY,0.037037037037037035
2009-06-30,MinVar,AGG,0.0
2009-06-30,MinVar,IEF,1.9647414481975215e-17
2009-06-30,MinVar,IJH,2.5186444472476672e-18
2009-06-30,MinVar,IJJ,0.00012453882918255911
2009-06-30,MinVar,ITOT,2.81839141166293e-18
2009-06-30,MinVar,IVV,4.866684011894006e-19
2009-06-30,MinVar,IWB,0.0
2009-06-30,MinVar,IWD,1.067600316451826e-17
2009-06-30,MinVar,IWF,0.00047666489871263563
2009-06-30,MinVar,IWM,0.0
2009-06-30,MinVar,IWN,8.588423749439823e-20
2009-06-30,MinVar,IWO,0.0
2009-06-30,MinVar,LQD,1.2498217429856775e-18
2009-06-30,MinVar,SHY,0.9528984927454776
2009-06-30,MinVar,SPY,8.066188000896169e-20
2009-06-30,MinVar,TIP,1.4221271210103198e-18
2009-06-30,MinVar,TLT,0.0
2009-06-30,MinVar,VTI,0.0
2009-06-30,MinVar,XLB,5.457268192966796e-19
2009-06-30,MinVar,XLE,0.013494523666586036
2009-06-30,MinVar,XLF,1.8521548562577133e-19
2009-06-30,MinVar,XLI,0.0
2009-06-30,MinVar,XLK,0.03300577986004129
2009-06-30,MinVar,XLP,2.163221784340633e-18
2009-06-30,MinVar,XLU,1.2921114879585164e-17
2009-06-30,MinVar,XLV,0.0
2009-06-30,MinVar,XLY,0.0
2009-06-30,DRP,AGG,0.04611069944587887
2009-06-30,DRP,IEF,0.0517062637057194
2009-06-30,DRP,IJH,0.008637043242055675
2009-06-30,DRP,IJJ,0.0083859021103318
2009-06-30,DRP,ITOT,0.009672346723851847
2009-06-30,DRP,IVV,0.010093743860852707
2009-06-30,DRP,IWB,0.009853173162443043
2009-06-30,DRP,IWD,0.009260829377989555
2009-06-30,DRP,IWF,0.010281717788233363
2009-06-30,DRP,IWM,0.008131294664033294
2009-06-30,DRP,IWN,0.00789029512820092
2009-06-30,DRP,IWO,0.008057475983457454
2009-06-30,DRP,LQD,0.022974435642578193
2009-06-30,DRP,SHY,0.6212375337339163
2009-06-30,DRP,SPY,0.0099872147422769
2009-06-30,DRP,TIP,0.02809255901544942
2009-06-30,DRP,TLT,0.02503181078686131
2009-06-30,DRP,VTI,0.009655870437774506
2009-06-30,DRP,XLB,0.008312544389977949
2009-06-30,DRP,XLE,0.011112217748486948
2009-06-30,DRP,XLF,0.006225066916154519
2009-06-30,DRP,XLI,0.00799129678503611
2009-06-30,DRP,XLK,0.010159831907024585
2009-06-30,DRP,XLP,0.015293035121977341
2009-06-30,DRP,XLU,0.014276848738575106
2009-06-30,DRP,XLV,0.013007057677741194
2009-06-30,DRP,XLY,0.008561891163121862
2009-06-30,MinCVaR,AGG,0.0
2009-06-30,MinCVaR,IEF,0.0
2009-06-30,MinCVaR,IJH,0.0
2009-06-30,MinCVaR,IJJ,0.0
2009-06-30,MinCVaR,ITOT,0.0
2009-06-30,MinCVaR,IVV,0.0
2009-06-30,MinCVaR,IWB,0.0
2009-06-30,MinCVaR,IWD,0.0
2009-06-30,MinCVaR,IWF,0.0
2009-06-30,MinCVaR,IWM,0.0
2009-06-30,MinCVaR,IWN,0.0
2009-06-30,MinCVaR,IWO,0.0
2009-06-30,MinCVaR,LQD,0.0
2009-06-30,MinCVaR,SHY,0.9535732296190002
2009-06-30,MinCVaR,SPY,0.0
2009-06-30,MinCVaR,TIP,0.0
2009-06-30,MinCVaR,TLT,0.0
2009-06-30,MinCVaR,VTI,0.0
2009-06-30,MinCVaR,XLB,0.0
2009-06-30,MinCVaR,XLE,0.0
2009-06-30,MinCVaR,XLF,0.0
2009-06-30,MinCVaR,XLI,0.0
2009-06-30,MinCVaR,XLK,0.046426770380999835
2009-06-30,MinCVaR,XLP,0.0
2009-06-30,MinCVaR,XLU,0.0
2009-06-30,MinCVaR,XLV,0.0
2009-06-30,MinCVaR,XLY,0.0
2009-06-30,MinCVaR_Cap,AGG,0.4000000000000009
2009-06-30,MinCVaR_Cap,IEF,0.13939408195247405
2009-06-30,MinCVaR_Cap,IJH,0.0
2009-06-30,MinCVaR_Cap,IJJ,0.0
2009-06-30,MinCVaR_Cap,ITOT,0.0
2009-06-30,MinCVaR_Cap,IVV,0.0
2009-06-30,MinCVaR_Cap,IWB,0.0
2009-06-30,MinCVaR_Cap,IWD,0.0
2009-06-30,MinCVaR_Cap,IWF,0.0
2009-06-30,MinCVaR_Cap,IWM,0.0
2009-06-30,MinCVaR_Cap,IWN,0.0
2009-06-30,MinCVaR_Cap,IWO,0.0
2009-06-30,MinCVaR_Cap,LQD,0.03166578017306783
2009-06-30,MinCVaR_Cap,SHY,0.4000000000000009
2009-06-30,MinCVaR_Cap,SPY,0.0
2009-06-30,MinCVaR_Cap,TIP,0.02277416772883173
2009-06-30,MinCVaR_Cap,TLT,0.0
2009-06-30,MinCVaR_Cap,VTI,0.0
2009-06-30,MinCVaR_Cap,XLB,0.0
2009-06-30,MinCVaR_Cap,XLE,0.0
2009-06-30,MinCVaR_Cap,XLF,0.0
2009-06-30,MinCVaR_Cap,XLI,0.0
2009-06-30,MinCVaR_Cap,XLK,0.0
2009-06-30,MinCVaR_Cap,XLP,0.0
2009-06-30,MinCVaR_Cap,XLU,0.0061659701456246154
2009-06-30,MinCVaR_Cap,XLV,0.0
2009-06-30,MinCVaR_Cap,XLY,0.0
2009-07-31,EqualWeight,AGG,0.037037037037037035
2009-07-31,EqualWeight,IEF,0.037037037037037035
2009-07-31,EqualWeight,IJH,0.037037037037037035
2009-07-31,EqualWeight,IJJ,0.037037037037037035
2009-07-31,EqualWeight,ITOT,0.037037037037037035
2009-07-31,EqualWeight,IVV,0.037037037037037035
2009-07-31,EqualWeight,IWB,0.037037037037037035
2009-07-31,EqualWeight,IWD,0.037037037037037035
2009-07-31,EqualWeight,IWF,0.037037037037037035
2009-07-31,EqualWeight,IWM,0.037037037037037035
2009-07-31,EqualWeight,IWN,0.037037037037037035
2009-07-31,EqualWeight,IWO,0.037037037037037035
2009-07-31,EqualWeight,LQD,0.037037037037037035
2009-07-31,EqualWeight,SHY,0.037037037037037035
2009-07-31,EqualWeight,SPY,0.037037037037037035
2009-07-31,EqualWeight,TIP,0.037037037037037035
2009-07-31,EqualWeight,TLT,0.037037037037037035
2009-07-31,EqualWeight,VTI,0.037037037037037035
